21,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date
29,27,4,81,3,3,4,1,,v West Indies,Delhi,6 Nov 2011
47.2,21.3,5,47,6,2.18,2,3,,v West Indies,Delhi,6 Nov 2011
24,14,3,49,2,3.5,3,2,,v West Indies,Eden Gardens,14 Nov 2011
20.3,40,4,137,2,3.42,4,3,,v West Indies,Eden Gardens,14 Nov 2011
9.5,52.1,6,156,5,2.99,4,1,,v West Indies,Wankhede,22 Nov 2011
21,15.2,0,34,4,2.21,4,3,,v West Indies,Wankhede,22 Nov 2011
16,16.3,5,31,6,1.87,4,2,,v New Zealand,Hyderabad,23 Aug 2012
15.5,26.5,9,54,6,2.01,4,3,,v New Zealand,Hyderabad,23 Aug 2012
12,24,5,82,1,3.41,4,1,,v New Zealand,Bengaluru,31 Aug 2012
8.5,22,1,69,5,3.13,4,3,,v New Zealand,Bengaluru,31 Aug 2012
19.3,27,9,80,3,2.96,1,2,,v England,Ahmedabad,15 Nov 2012
20,43,9,111,1,2.58,3,3,,v England,Ahmedabad,15 Nov 2012
21,42.3,6,145,2,3.41,1,2,,v England,Wankhede,23 Nov 2012
8,3.4,0,22,0,6,1,4,,v England,Wankhede,23 Nov 2012
22.3,52.3,9,183,3,3.48,3,2,,v England,Eden Gardens,5 Dec 2012
42.3,6.1,1,31,2,5.02,1,4,,v England,Eden Gardens,5 Dec 2012
30,24,3,66,1,2.75,5,1,,v England,Nagpur,13 Dec 2012
19.5,38,11,99,2,2.6,3,3,,v England,Nagpur,13 Dec 2012
22.5,42,12,103,7,2.45,4,1,,v Australia,Chennai,22 Feb 2013
16,32,6,95,5,2.96,1,3,,v Australia,Chennai,22 Feb 2013
15,15,6,41,1,2.73,3,1,,v Australia,Hyderabad,2 Mar 2013
23.5,28,12,63,5,2.25,2,3,,v Australia,Hyderabad,2 Mar 2013
18,43.5,9,97,2,2.21,3,1,,v Australia,Mohali,14 Mar 2013
55.1,31,9,72,2,2.32,3,3,,v Australia,Mohali,14 Mar 2013
17.3,34,18,57,5,1.67,3,1,,v Australia,Delhi,22 Mar 2013
DNB,15.3,2,55,2,3.54,2,3,,v Australia,Delhi,22 Mar 2013
5,21,9,52,2,2.47,3,1,,v West Indies,Eden Gardens,6 Nov 2013
16,19,2,46,3,2.42,3,3,,v West Indies,Eden Gardens,6 Nov 2013
14.2,15,2,45,3,3,3,1,,v West Indies,Wankhede,14 Nov 2013
12,17,4,89,4,5.23,3,3,,v West Indies,Wankhede,14 Nov 2013
10,24,5,51,5,2.12,1,2,,v South Africa,Mohali,5 Nov 2015
28.4,14,5,39,3,2.78,1,4,,v South Africa,Mohali,5 Nov 2015
21,18,2,70,4,3.88,3,1,,v South Africa,Bengaluru,14 Nov 2015
46.2,16.1,6,32,5,1.97,2,2,,v South Africa,Nagpur,25 Nov 2015
20,29.5,7,66,7,2.21,2,4,,v South Africa,Nagpur,25 Nov 2015
24.2,13.3,5,26,2,1.92,3,2,,v South Africa,Delhi,3 Dec 2015
10,49.1,26,61,5,1.24,2,4,,v South Africa,Delhi,3 Dec 2015
11,30.5,7,93,4,3.01,4,2,,v New Zealand,Kanpur,22 Sep 2016
18,35.3,5,132,6,3.71,2,4,,v New Zealand,Kanpur,22 Sep 2016
8,8,3,33,1,4.12,4,2,,v New Zealand,Eden Gardens,30 Sep 2016
11.4,31,6,82,3,2.64,3,4,,v New Zealand,Eden Gardens,30 Sep 2016
35,27.2,5,81,6,2.96,3,2,,v New Zealand,Indore,8 Oct 2016
35,13.5,2,59,7,4.26,3,4,,v New Zealand,Indore,8 Oct 2016
28.1,46,3,167,2,3.63,3,1,,v England,Rajkot,9 Nov 2016
17.3,23.3,4,63,1,2.68,3,3,,v England,Rajkot,9 Nov 2016
8,29.5,6,67,5,2.24,4,2,,v England,Visakhapatnam,17 Nov 2016
DNB,30,11,52,3,1.73,3,4,,v England,Visakhapatnam,17 Nov 2016
23,18,1,43,1,2.38,4,1,,v England,Mohali,26 Nov 2016
13.5,26.2,4,81,3,3.07,3,3,,v England,Mohali,26 Nov 2016
34,44,4,112,6,2.54,3,1,,v England,Wankhede,8 Dec 2016
30,20.3,3,55,6,2.68,4,3,,v England,Wankhede,8 Dec 2016
49,44,3,151,1,3.43,4,1,,v England,Chennai,16 Dec 2016
12.4,25,6,56,0,2.24,2,3,,v England,Chennai,16 Dec 2016
34.5,28.5,7,98,2,3.39,3,2,,v Bangladesh,Hyderabad,9 Feb 2017
28,30.3,10,73,4,2.39,2,4,,v Bangladesh,Hyderabad,9 Feb 2017
28.5,34.5,10,63,3,1.8,2,1,,v Australia,Pune,23 Feb 2017
30.3,28,3,119,4,4.25,1,3,,v Australia,Pune,23 Feb 2017
44,49,13,84,2,1.71,3,2,,v Australia,Bengaluru,4 Mar 2017
25,12.4,4,41,6,3.23,2,4,,v Australia,Bengaluru,4 Mar 2017
44,34,2,114,1,3.35,3,1,,v Australia,Ranchi,16 Mar 2017
20.3,30,10,71,1,2.36,1,3,,v Australia,Ranchi,16 Mar 2017
18,23,5,54,1,2.34,3,1,,v Australia,Dharamsala,25 Mar 2017
26.2,13.5,4,29,3,2.09,5,3,,v Australia,Dharamsala,25 Mar 2017
29.5,8,2,13,0,1.62,4,2,,v Sri Lanka,Eden Gardens,16 Nov 2017
30,DNB,-,-,-,-,-,4,,v Sri Lanka,Eden Gardens,16 Nov 2017
46,28.1,7,67,4,2.37,3,1,,v Sri Lanka,Nagpur,24 Nov 2017
23.3,17.3,4,63,4,3.6,2,3,,v Sri Lanka,Nagpur,24 Nov 2017
27.2,35,8,90,3,2.57,4,2,,v Sri Lanka,Delhi,2 Dec 2017
13.5,35,3,126,1,3.6,3,4,,v Sri Lanka,Delhi,2 Dec 2017
8,8,1,27,4,3.37,4,2,,v Afghanistan,Bengaluru,14 Jun 2018
31,11.4,3,32,1,2.74,4,3,,v Afghanistan,Bengaluru,14 Jun 2018
30.5,11,2,37,4,3.36,3,2,,v West Indies,Rajkot,4 Oct 2018
35.3,18,2,71,2,3.94,2,3,,v West Indies,Rajkot,4 Oct 2018
13.3,24.2,7,49,1,2.01,3,1,,v West Indies,Hyderabad,12 Oct 2018
49.1,10,4,24,2,2.4,2,3,,v West Indies,Hyderabad,12 Oct 2018
16.1,46.2,11,145,7,3.12,3,2,,v South Africa,Visakhapatnam,2 Oct 2019
